[2024-01-29 08:30:17,725: INFO: main: testing the logging module]
[2024-01-29 10:17:03,888: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-29 10:17:03,893: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-29 10:17:03,895: INFO: common: created directory at: artifacts]
[2024-01-29 10:17:03,896: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-29 10:17:03,897: INFO: 1009431632: Downloading data from https://drive.google.com/file/d/17-zj3AZASK5i-0VdVUdiC9xs-IHUXeBe/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-01-29 10:17:12,052: INFO: 1009431632: Downloaded data from https://drive.google.com/file/d/17-zj3AZASK5i-0VdVUdiC9xs-IHUXeBe/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-01-29 10:44:43,648: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-29 10:44:43,650: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-29 10:44:43,651: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-29 10:44:43,651: INFO: common: created directory at: artifacts]
[2024-01-29 10:44:43,651: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-29 10:44:43,651: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/17-zj3AZASK5i-0VdVUdiC9xs-IHUXeBe/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-01-29 10:44:52,297: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/17-zj3AZASK5i-0VdVUdiC9xs-IHUXeBe/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-01-29 10:44:52,899: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-01-29 10:45:31,977: INFO: main: >>>>>> stage : Data Ingestion stage started <<<<<<]
[2024-01-29 10:45:31,978: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-29 10:45:31,979: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-29 10:45:31,979: INFO: common: created directory at: artifacts]
[2024-01-29 10:45:31,980: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-29 10:45:31,980: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/17-zj3AZASK5i-0VdVUdiC9xs-IHUXeBe/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-01-29 10:45:42,475: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/17-zj3AZASK5i-0VdVUdiC9xs-IHUXeBe/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-01-29 10:45:43,040: INFO: main: >>>>>> stage : Data Ingestion stage completed <<<<<<

x==========x]
